stop_id,stop_name,stop_lat,stop_lon
23595,Pratt St & Oakland St,40.025138,-75.082567
23597,Pratt St & Large St,40.026914,-75.08588
23599,Pratt St & Roosevelt Blvd ,40.028762,-75.089205
23601,Pratt St & Loretto Av ,40.029981,-75.091362
23603,Summerdale Av & Bridge St,40.031964,-75.091779
23605,Summerdale Av & Cheltenham Av ,40.034492,-75.089296
23607,Oxford Av & Martins Mills Rd,40.044121,-75.08886
23609,Martins Mill Rd & Levick St,40.046992,-75.090892
23611,Martins Mill Rd & Lawndale Av ,40.049345,-75.091314
23613,Martins Mill Rd & Fanshawne St,40.052085,-75.091856
30220,High St & York St - FS,40.24568,-75.652124
240,Evergreen Av & Stenton Av - FS,40.080776,-75.202918
242,Germantown Av & Bethlehem Pk,40.077045,-75.208076
243,Bethlehem Pk & Montgomery Av ,40.092078,-75.214324
254,Stenton Av & Washington Ln,40.059577,-75.165696
255,Wister St & Chelten Av ,40.052054,-75.157942
665,Parkside Av & 49th St  ,39.978937,-75.216566
586,33rd St & Oxford St,39.981064,-75.18862
605,80th St and Eastwick Av         ,39.898766,-75.238906
607,Elmwood Av & 73rd St           ,39.914103,-75.241839
1727,Swedesford Rd & Valley Forge Rd ,40.071073,-75.43635
1728,DeKalb Pk & Henderson Rd,40.094414,-75.363086
1730,13th & Market Sts.              ,39.951798,-75.161475
1752,W Trenton Av & Pine Grove Rd ,40.207382,-74.803118
1755,Trenton Transit Center,40.219666,-74.751638
1756,Pennsylvania Av & Bridge St ,40.208062,-74.775427
1786,New Falls Rd & Bensalem Blvd ,40.123717,-74.904161
1835,Paoli Railroad Station,40.04234,-75.484199
1836,Westlakes Office Center         ,40.061367,-75.472143
1847,Delaware & Virginia Drs.        ,40.135696,-75.193947
1849,Commerce Dr & Pennsylvania Av,40.134702,-75.206926
1869,Great Valley Pkwy & Morehall Rd ,40.063817,-75.536066
1873,Lancaster Av & Morehall Rd,40.043728,-75.523349
1883,State Rd & Street Rd,40.076164,-74.928865
2002,Haverford Av & City Av,39.980041,-75.269074
2004,Wynnewood Shopping Center      ,40.001418,-75.272864
2014,Lancaster Av & Main Av,40.047716,-75.441989
2015,Lancaster & Old Eagle School       ,40.046009,-75.405273
2017,Radnor-Chester & King of Prussia,40.043225,-75.359208
2018,Lancaster Av & Bryn Mawr Av - MBFS,40.021006,-75.317256
2019,Suburban Square - Ardmore,40.008573,-75.289834
1920,Beechwood-Brookline Stn           ,39.98661,-75.29146
1921,Wynnewood Rd Station,39.993391,-75.298217
1922,Ardmore Junction Station,39.995976,-75.303045
27453,North Wales Rd & Hancock Rd,40.223028,-75.268006
8524,Henry Av & Gates St - MBNS,40.041456,-75.216202
8525,Henry Av & Wigard Av - MBFS,40.051163,-75.224581
8355,South Gulph Rd & Long Rd - FS,40.082658,-75.380672
8511,Henderson & Shoemaker Rds,40.0817,-75.356745
8512,Henderson & Tyler Rds,40.092851,-75.361443
8513,Henderson Rd & Wonder Bread,40.078963,-75.354924
8534,Henry Av & Livezey Ln,40.046303,-75.218013
8538,Henry Av & Palairet Rd,40.05454,-75.232282
